DGRP	sex	Abs_volumemm3	H-Ratio
DGRP_228	F	0.01063415	0.009527276452
DGRP_228	M	0.01096186	0.01241828574
DGRP_332	M	0.01291632	0.01322450424
DGRP_100	M	0.0141548097	0.01497870358
DGRP_048	M	0.01445417	0.02650837656
DGRP_332	F	0.01522101	0.01205169845
DGRP_256	F	0.01522535	0.01888507277
DGRP_732	F	0.0153461961	0.01438198325
DGRP_059	M	0.0154026824	0.01458597748
DGRP_737	F	0.0154154385	0.01404061738
DGRP_105	M	0.0154688705	0.01833994676
DGRP_390	F	0.01553118	0.01257764792
DGRP_486	M	0.0156542835	0.01579773797
DGRP_105	F	0.0157730413	0.01690557203
DGRP_335	F	0.01592112	0.0151410662
DGRP_320	F	0.01594376	0.01353942464
DGRP_395	F	0.0163291366	0.01433737408
DGRP_385	F	0.01640068	0.01522524354
DGRP_787	M	0.0165033026	0.01836106961
DGRP_406	M	0.01658767	0.01820074646
DGRP_026	M	0.0199077711	0.02751650603
DGRP_208	F	0.01667873	0.01599139643
DGRP_406	F	0.01674096	0.01666510975
DGRP_101	F	0.01675648	0.02470691276
DGRP_732	M	0.0167714328	0.01807941201
DGRP_584	F	0.0169462097	0.0145644892
DGRP_309	F	0.01702781	0.01839055689
DGRP_900	F	0.0173017284	0.01423715364
DGRP_390	M	0.01745584	0.02148421733
DGRP_136	F	0.01747733	0.02630227435
DGRP_362	F	0.0175839985	0.01780459492
DGRP_879	M	0.01766871	0.02092613296
DGRP_437	M	0.01770601	0.02220061232
DGRP_335	M	0.0177087	0.01715028716
DGRP_181	F	0.01773386	0.03021425353
DGRP_703	M	0.0177631049	0.01716881019
DGRP_021	F	0.01782354	0.02874962935
DGRP_309	M	0.01782592	0.01971172844
DGRP_217	M	0.01801743	0.0301682478
DGRP_131	M	0.01807417	0.02923634382
DGRP_551	F	0.01811435	0.02590973651
DGRP_321	F	0.01812222	NA
DGRP_409	F	0.0181456091	0.01539887032
DGRP_900	M	0.0182207339	0.0162329904
DGRP_100	F	0.0182324945	0.01921973997
DGRP_195	M	0.01825326	0.01727155059
DGRP_021	M	0.01843451	0.02989517421
DGRP_535	F	0.01851705	0.02818782647
DGRP_306	F	0.01855499	0.01634041376
DGRP_075	M	0.0185646209	0.01957274505
DGRP_386	F	0.01858974	0.01807995277
DGRP_317	M	0.0187123	0.018103701
DGRP_354	F	0.01873408	0.01668342572
DGRP_304	F	0.01875431	0.01976054668
DGRP_786	F	0.0187891288	0.01788772097
DGRP_802	M	0.01880512	0.02020004545
DGRP_737	M	0.0188052985	0.01952845117
DGRP_595	F	0.0188063405	0.0205790698
DGRP_377	M	0.0189170853	0.01748139536
DGRP_392	F	0.01892384	0.02765648046
DGRP_486	F	0.0195577133	0.02329856136
DGRP_395	M	0.0189767337	0.01920409232
DGRP_584	M	0.0190592712	0.01749407319
DGRP_551	M	0.01915288	0.02966955165
DGRP_350	M	0.01917012	0.01640595763
DGRP_208	M	0.01917501	0.02082924194
DGRP_153	F	0.01919625	0.02936361436
DGRP_362	M	0.019228766	0.01848461951
DGRP_304	M	0.01923304	0.01839566773
DGRP_373	M	0.0192665	0.02120183347
DGRP_820	M	0.0192990864	0.01734628547
DGRP_595	M	0.0193007752	0.01758832689
DGRP_820	F	0.0193111239	0.01625297246
DGRP_385	M	0.01939912	0.02024719587
