"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0010628",229,"GO:0010628",0.99784,80,"positive regulation of gene expression","positive regulation of gene expression",0.848106641123882,0.265933333333333,0
"GO:0002376",146,"GO:0002376",0.997,8,"immune system process","immune system process",0.995361430395913,0.2736,0
"GO:0051173",229,"GO:0010628",0.99696,0,"positive regulation of nitrogen compound metabolic process","positive regulation of gene expression",0.845029374201788,0.175933333333333,0.772
"GO:0009891",229,"GO:0010628",0.99666,0,"positive regulation of biosynthetic process","positive regulation of gene expression",0.848660280970626,0.1716,0.849
"GO:0031328",229,"GO:0010628",0.99666,0,"positive regulation of cellular biosynthetic process","positive regulation of gene expression",0.832088122605364,0.161466666666667,0.849
"GO:0010557",229,"GO:0010628",0.99462,0,"positive regulation of macromolecule biosynthetic process","positive regulation of gene expression",0.82936717752235,0.160466666666667,0.852
"GO:0045935",229,"GO:0010628",0.99426,0,"positive regulation of nucleobase-containing compound metabolic process","positive regulation of gene expression",0.823890166028097,0.1738,0.772
"GO:0045944",229,"GO:0010628",0.99351,425,"positive regulation of transcription by RNA polymerase II","positive regulation of gene expression",0.825592592592593,0.194466666666667,0.792
"GO:0051254",229,"GO:0010628",0.99295,0,"positive regulation of RNA metabolic process","positive regulation of gene expression",0.823327586206897,0.174466666666667,0.768
"GO:0034248",136,"GO:0034248",0.99086,0,"regulation of amide metabolic process","regulation of amide metabolic process",0.876443167305236,0.354,0
"GO:0006952",181,"GO:0006952",0.99057,45,"defense response","defense response",0.948409961685824,0.40725,0
"GO:0007600",224,"GO:0007600",0.98802,0,"sensory perception","sensory perception",0.94489527458493,0.312333333333333,0
"GO:1902680",229,"GO:0010628",0.98784,0,"positive regulation of RNA biosynthetic process","positive regulation of gene expression",0.819915708812261,0.163066666666667,0.821
"GO:0045893",229,"GO:0010628",0.98784,161,"positive regulation of DNA-templated transcription","positive regulation of gene expression",0.81987037037037,0.163066666666667,0.821
"GO:0065008",228,"GO:0065008",0.98679,0,"regulation of biological quality","regulation of biological quality",0.912906768837803,0.6615,0
"GO:0046907",211,"GO:0046907",0.98499,25,"intracellular transport","intracellular transport",0.9255,0.351666666666667,0
"GO:0051963",67,"GO:0051963",0.98498,5,"regulation of synapse assembly","regulation of synapse assembly",0.808522349936143,0.235,0
"GO:0009582",137,"GO:0009582",0.98472,0,"detection of abiotic stimulus","detection of abiotic stimulus",0.953161558109834,0.212111111111111,0
"GO:0009581",137,"GO:0009582",0.98472,0,"detection of external stimulus","detection of abiotic stimulus",0.952181353767561,0.212111111111111,0.852
"GO:0051726",227,"GO:0051726",0.98465,45,"regulation of cell cycle","regulation of cell cycle",0.900591315453384,0.31925,0
"GO:0009416",109,"GO:0009416",0.98407,26,"response to light stimulus","response to light stimulus",0.953086206896552,0.289857142857143,0
"GO:0016192",159,"GO:0016192",0.98319,192,"vesicle-mediated transport","vesicle-mediated transport",0.932641123882503,0.4094,0
"GO:1904396",92,"GO:1904396",0.98279,4,"regulation of neuromuscular junction development","regulation of neuromuscular junction development",0.868473180076628,0.28575,0
"GO:0008582",92,"GO:1904396",0.98063,40,"regulation of synaptic assembly at neuromuscular junction","regulation of neuromuscular junction development",0.791373563218391,0.2475625,0.993
"GO:0003008",224,"GO:0007600",0.97789,0,"system process","sensory perception",0.942727969348659,0.340666666666667,0.913
"GO:0030154",130,"GO:0030154",0.97763,76,"cell differentiation","cell differentiation",0.900072796934866,0.411333333333333,0
"GO:0051649",211,"GO:0046907",0.9767,0,"establishment of localization in cell","intracellular transport",0.924644316730524,0.330833333333333,0.929
"GO:0051130",42,"GO:0051130",0.97575,0,"positive regulation of cellular component organization","positive regulation of cellular component organization",0.854270753512133,0.3634,0
"GO:0015031",158,"GO:0015031",0.97525,47,"protein transport","protein transport",0.921,0.2354,0
"GO:0009607",13,"GO:0009607",0.96936,0,"response to biotic stimulus","response to biotic stimulus",0.951303959131545,0.333272727272727,0
"GO:0043207",13,"GO:0009607",0.96936,0,"response to external biotic stimulus","response to biotic stimulus",0.945879310344828,0.332636363636364,0.979
"GO:0007346",227,"GO:0051726",0.96714,38,"regulation of mitotic cell cycle","regulation of cell cycle",0.905300127713921,0.345,0.929
"GO:0045597",118,"GO:0045597",0.96313,0,"positive regulation of cell differentiation","positive regulation of cell differentiation",0.841378033205619,0.263947368421053,0
"GO:0006812",176,"GO:0006812",0.96171,51,"monoatomic cation transport","monoatomic cation transport",0.944947637292465,0.300714285714286,0
"GO:0035152",195,"GO:0035152",0.96062,8,"regulation of tube architecture, open tracheal system","regulation of tube architecture, open tracheal system",0.867562579821201,0.40875,0
"GO:0010564",227,"GO:0051726",0.95978,2,"regulation of cell cycle process","regulation of cell cycle",0.902901021711367,0.33425,0.954
"GO:0051707",13,"GO:0009607",0.95977,0,"response to other organism","response to biotic stimulus",0.945879310344828,0.332636363636364,0.979
"GO:0019827",233,"GO:0019827",0.9587,7,"stem cell population maintenance","stem cell population maintenance",0.943035759897829,0.345666666666667,0
"GO:0098727",233,"GO:0019827",0.9587,0,"maintenance of cell number","stem cell population maintenance",0.954679438058748,0.345666666666667,0.997
"GO:0008380",132,"GO:0008380",0.95772,26,"RNA splicing","RNA splicing",0.912182630906769,0.268125,0
"GO:0098542",181,"GO:0006952",0.95482,5,"defense response to other organism","defense response",0.941579821200511,0.41,0.974
"GO:0000375",132,"GO:0008380",0.95354,3,"RNA splicing, via transesterification reactions","RNA splicing",0.913095146871009,0.26875,0.975
"GO:0010720",118,"GO:0045597",0.95224,0,"positive regulation of cell development","positive regulation of cell differentiation",0.840457215836526,0.263105263157895,0.969
"GO:0006810",211,"GO:0046907",0.95201,9,"transport","intracellular transport",0.942618135376756,0.342,0.719
"GO:0010629",205,"GO:0010629",0.95147,80,"negative regulation of gene expression","negative regulation of gene expression",0.826792464878672,0.2090625,0
"GO:0000377",132,"GO:0008380",0.95028,0,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","RNA splicing",0.913138569604087,0.269,0.974
"GO:0000398",132,"GO:0008380",0.95028,377,"mRNA splicing, via spliceosome","RNA splicing",0.911837803320562,0.269,0.974
"GO:0009583",137,"GO:0009582",0.95024,0,"detection of light stimulus","detection of abiotic stimulus",0.947246487867178,0.205333333333333,0.977
