"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0051641",122,"GO:0051641",0.99629,0,"cellular localization","cellular localization",0.932066022544283,0.338,0
"GO:0007281",162,"GO:0007281",0.9951,55,"germ cell development","germ cell development",0.862607890499195,0.232333333333333,0
"GO:0048598",85,"GO:0048598",0.99318,8,"embryonic morphogenesis","embryonic morphogenesis",0.898554750402576,0.277444444444444,0
"GO:0007276",162,"GO:0007281",0.99312,6,"gamete generation","germ cell development",0.919449275362319,0.245,0.915
"GO:0007292",162,"GO:0007281",0.99049,1,"female gamete generation","germ cell development",0.921526570048309,0.271333333333333,0.858
"GO:0048477",162,"GO:0007281",0.99049,260,"oogenesis","germ cell development",0.864607085346216,0.236,0.947
"GO:0070727",172,"GO:0070727",0.99032,1,"cellular macromolecule localization","cellular macromolecule localization",0.930628824476651,0.247857142857143,0
"GO:0031344",147,"GO:0031344",0.98557,1,"regulation of cell projection organization","regulation of cell projection organization",0.87668115942029,0.2846,0
"GO:0006508",134,"GO:0006508",0.98252,805,"proteolysis","proteolysis",0.931953301127214,0.53,0
"GO:0048749",193,"GO:0048749",0.98075,127,"compound eye development","compound eye development",0.890234299516908,0.250333333333333,0
"GO:0048468",112,"GO:0048468",0.97911,5,"cell development","cell development",0.889377616747182,0.429,0
"GO:0010975",147,"GO:0031344",0.97816,2,"regulation of neuron projection development","regulation of cell projection organization",0.805136070853462,0.2997,0.957
"GO:0010628",190,"GO:0010628",0.97528,80,"positive regulation of gene expression","positive regulation of gene expression",0.856514492753623,0.265933333333333,0
"GO:0048609",162,"GO:0007281",0.9741,0,"multicellular organismal reproductive process","germ cell development",0.9194653784219,0.245222222222222,0.911
"GO:0051640",196,"GO:0051640",0.97288,0,"organelle localization","organelle localization",0.963299516908213,1,0
"GO:0022603",171,"GO:0022603",0.97283,0,"regulation of anatomical structure morphogenesis","regulation of anatomical structure morphogenesis",0.860624798711755,0.3835,0
"GO:0032501",195,"GO:0032501",0.97252,0,"multicellular organismal process","multicellular organismal process",0.930169082125604,1,0
"GO:0051173",190,"GO:0010628",0.96658,0,"positive regulation of nitrogen compound metabolic process","positive regulation of gene expression",0.853925120772947,0.175933333333333,0.772
"GO:0009891",190,"GO:0010628",0.96623,0,"positive regulation of biosynthetic process","positive regulation of gene expression",0.855768115942029,0.1716,0.849
"GO:0031328",190,"GO:0010628",0.96623,0,"positive regulation of cellular biosynthetic process","positive regulation of gene expression",0.840725442834139,0.161466666666667,0.849
"GO:0016331",85,"GO:0048598",0.96571,10,"morphogenesis of embryonic epithelium","embryonic morphogenesis",0.898433172302738,0.312666666666667,0.901
"GO:0051649",122,"GO:0051641",0.96471,0,"establishment of localization in cell","cellular localization",0.931105475040258,0.330833333333333,0.895
"GO:0042048",148,"GO:0042048",0.96214,49,"olfactory behavior","olfactory behavior",0.89054267310789,0.430375,0
"GO:0019637",32,"GO:0019637",0.96184,0,"organophosphate metabolic process","organophosphate metabolic process",0.931786634460548,0.35,0
"GO:0010557",190,"GO:0010628",0.95783,0,"positive regulation of macromolecule biosynthetic process","positive regulation of gene expression",0.838082125603865,0.160466666666667,0.852
"GO:0007391",85,"GO:0048598",0.95596,121,"dorsal closure","embryonic morphogenesis",0.899397745571659,0.258888888888889,0.887
"GO:0022402",158,"GO:0022402",0.95583,0,"cell cycle process","cell cycle process",0.975213365539452,0.346625,0
"GO:0045935",190,"GO:0010628",0.95535,0,"positive regulation of nucleobase-containing compound metabolic process","positive regulation of gene expression",0.836090177133655,0.1738,0.772
"GO:0051254",190,"GO:0010628",0.95147,0,"positive regulation of RNA metabolic process","positive regulation of gene expression",0.8349653784219,0.174466666666667,0.768
"GO:0009893",190,"GO:0010628",0.94974,0,"positive regulation of metabolic process","positive regulation of gene expression",0.858475040257649,0.173333333333333,0.792
"GO:0035239",64,"GO:0035239",0.9461,5,"tube morphogenesis","tube morphogenesis",0.908384863123994,0.36025,0
"GO:1902680",190,"GO:0010628",0.94465,0,"positive regulation of RNA biosynthetic process","positive regulation of gene expression",0.832210144927536,0.163066666666667,0.821
"GO:0045893",190,"GO:0010628",0.94465,161,"positive regulation of DNA-templated transcription","positive regulation of gene expression",0.832183574879227,0.163066666666667,0.821
"GO:0048663",59,"GO:0048663",0.94272,9,"neuron fate commitment","neuron fate commitment",0.883568438003221,0.300357142857143,0
"GO:0032535",188,"GO:0032535",0.94036,0,"regulation of cellular component size","regulation of cellular component size",0.894793880837359,0.248375,0
"GO:0046552",59,"GO:0048663",0.93866,3,"photoreceptor cell fate commitment","neuron fate commitment",0.88234460547504,0.303428571428571,0.986
"GO:0001752",59,"GO:0048663",0.93734,13,"compound eye photoreceptor fate commitment","neuron fate commitment",0.868346215780998,0.306285714285714,0.979
"GO:0042706",59,"GO:0048663",0.93734,0,"eye photoreceptor cell fate commitment","neuron fate commitment",0.868403381642512,0.306285714285714,0.979
"GO:0090066",188,"GO:0032535",0.93627,0,"regulation of anatomical structure size","regulation of cellular component size",0.926449275362319,0.246,0.966
"GO:0006886",172,"GO:0070727",0.9351,164,"intracellular protein transport","cellular macromolecule localization",0.926276972624799,0.263714285714286,0.869
"GO:0022412",162,"GO:0007281",0.93483,0,"cellular process involved in reproduction in multicellular organism","germ cell development",0.905226247987118,0.260666666666667,0.924
"GO:0035222",135,"GO:0035222",0.93125,23,"wing disc pattern formation","wing disc pattern formation",0.905373590982287,0.2812,0
"GO:0045595",14,"GO:0045595",0.92995,9,"regulation of cell differentiation","regulation of cell differentiation",0.842775362318841,0.236666666666667,0
"GO:0007447",135,"GO:0035222",0.92922,5,"imaginal disc pattern formation","wing disc pattern formation",0.902623993558776,0.2778,0.963
"GO:0048729",146,"GO:0048729",0.92696,0,"tissue morphogenesis","tissue morphogenesis",0.914367149758454,0.281625,0
"GO:0007476",189,"GO:0007476",0.92635,155,"imaginal disc-derived wing morphogenesis","imaginal disc-derived wing morphogenesis",0.888173913043478,0.2524,0
"GO:0035152",177,"GO:0035152",0.92466,8,"regulation of tube architecture, open tracheal system","regulation of tube architecture, open tracheal system",0.861747181964573,0.424,0
"GO:0007612",114,"GO:0007612",0.92243,11,"learning","learning",0.9315,0.275,0
"GO:0002009",146,"GO:0048729",0.92019,17,"morphogenesis of an epithelium","tissue morphogenesis",0.914489533011272,0.266625,0.979
"GO:0090596",193,"GO:0048749",0.91975,0,"sensory organ morphogenesis","compound eye development",0.908837359098229,0.261166666666667,0.893
"GO:0048592",193,"GO:0048749",0.91975,4,"eye morphogenesis","compound eye development",0.882882447665056,0.241,0.953
"GO:0051130",97,"GO:0051130",0.91904,0,"positive regulation of cellular component organization","positive regulation of cellular component organization",0.866119162640902,0.386461538461538,0
"GO:0008593",37,"GO:0008593",0.91782,5,"regulation of Notch signaling pathway","regulation of Notch signaling pathway",0.873677133655395,0.427583333333333,0
"GO:0045664",14,"GO:0045595",0.91676,11,"regulation of neuron differentiation","regulation of cell differentiation",0.830431561996779,0.224166666666667,0.877
"GO:0045165",59,"GO:0048663",0.91365,26,"cell fate commitment","neuron fate commitment",0.90919806763285,0.284571428571429,0.873
"GO:0042594",129,"GO:0042594",0.91102,78,"response to starvation","response to starvation",0.939911433172303,0.283625,0
"GO:0048869",112,"GO:0048468",0.91067,0,"cellular developmental process","cell development",0.893029790660225,0.410666666666667,0.856
"GO:0016319",82,"GO:0016319",0.90601,91,"mushroom body development","mushroom body development",0.906691626409018,0.389333333333333,0
"GO:0007423",193,"GO:0048749",0.90547,68,"sensory organ development","compound eye development",0.917546698872786,0.249333333333333,0.942
"GO:0006397",141,"GO:0006397",0.9054,34,"mRNA processing","mRNA processing",0.914287439613527,0.294,0
"GO:0032989",90,"GO:0032989",0.90191,0,"cellular component morphogenesis","cellular component morphogenesis",0.915623188405797,0.245666666666667,0
"GO:0061024",80,"GO:0061024",0.89838,20,"membrane organization","membrane organization",0.948367149758454,0.395,0
"GO:1903046",158,"GO:0022402",0.89829,0,"meiotic cell cycle process","cell cycle process",0.949983896940419,0.381125,0.831
"GO:0045926",27,"GO:0045926",0.8973,18,"negative regulation of growth","negative regulation of growth",0.907192431561997,0.286541666666667,0
"GO:0007610",148,"GO:0042048",0.89691,0,"behavior","olfactory behavior",0.927276972624799,0.365125,0.723
"GO:0006952",192,"GO:0006952",0.89256,45,"defense response","defense response",0.943004025764895,0.40725,0
"GO:0009889",42,"GO:0009889",0.88831,0,"regulation of biosynthetic process","regulation of biosynthetic process",0.851433172302738,0.253928571428571,0
"GO:0010604",190,"GO:0010628",0.88826,0,"positive regulation of macromolecule metabolic process","positive regulation of gene expression",0.853983896940419,0.1728,0.807
"GO:0031326",42,"GO:0009889",0.8881,0,"regulation of cellular biosynthetic process","regulation of biosynthetic process",0.833918679549114,0.248642857142857,0.92
"GO:0007419",82,"GO:0016319",0.88762,83,"ventral cord development","mushroom body development",0.908278582930757,0.4125,0.754
"GO:0007409",90,"GO:0032989",0.88726,66,"axonogenesis","cellular component morphogenesis",0.828863123993559,0.223,0.917
"GO:0002121",187,"GO:0002121",0.8851,17,"inter-male aggressive behavior","inter-male aggressive behavior",0.94871578099839,0.51,0
"GO:0050769",14,"GO:0045595",0.88475,4,"positive regulation of neurogenesis","regulation of cell differentiation",0.811090177133655,0.263708333333333,0.85
"GO:0008306",114,"GO:0007612",0.88236,17,"associative learning","learning",0.933037037037037,0.2889375,0.974
"GO:0050767",14,"GO:0045595",0.88115,33,"regulation of neurogenesis","regulation of cell differentiation",0.815094202898551,0.244833333333333,0.912
"GO:0006979",192,"GO:0006952",0.87967,106,"response to oxidative stress","defense response",0.952701288244767,0.5465,0.584
"GO:0031325",190,"GO:0010628",0.87953,0,"positive regulation of cellular metabolic process","positive regulation of gene expression",0.842203703703704,0.164533333333333,0.811
"GO:0006082",128,"GO:0006082",0.87831,3,"organic acid metabolic process","organic acid metabolic process",0.925313204508857,0.221428571428571,0
"GO:0043436",128,"GO:0006082",0.87831,0,"oxoacid metabolic process","organic acid metabolic process",0.925338164251208,0.221285714285714,0.982
"GO:1903047",158,"GO:0022402",0.8772,0,"mitotic cell cycle process","cell cycle process",0.977003220611916,0.35025,0.858
"GO:0050877",114,"GO:0007612",0.87713,27,"nervous system process","learning",0.934169082125604,0.2523125,0.754
"GO:0016192",115,"GO:0016192",0.87702,192,"vesicle-mediated transport","vesicle-mediated transport",0.939139291465378,0.42975,0
"GO:0006259",166,"GO:0006259",0.87614,4,"DNA metabolic process","DNA metabolic process",0.919783413848631,0.352,0
"GO:0007379",110,"GO:0007379",0.876,20,"segment specification","segment specification",0.921398550724638,0.411,0
"GO:0051248",109,"GO:0051248",0.8751,0,"negative regulation of protein metabolic process","negative regulation of protein metabolic process",0.856963768115942,0.331833333333333,0
