"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0007281",162,"GO:0007281",0.9951,55,"germ cell development","germ cell development",0.862607890499195,0.232333333333333,0
"GO:0070727",172,"GO:0070727",0.99032,1,"cellular macromolecule localization","cellular macromolecule localization",0.930628824476651,0.247857142857143,0
"GO:0031344",147,"GO:0031344",0.98557,1,"regulation of cell projection organization","regulation of cell projection organization",0.87668115942029,0.2846,0
"GO:0048468",112,"GO:0048468",0.97911,5,"cell development","cell development",0.889377616747182,0.429,0
"GO:0010975",147,"GO:0031344",0.97816,2,"regulation of neuron projection development","regulation of cell projection organization",0.805136070853462,0.2997,0.957
"GO:0048663",59,"GO:0048663",0.94272,9,"neuron fate commitment","neuron fate commitment",0.883568438003221,0.300357142857143,0
"GO:0046552",59,"GO:0048663",0.93866,3,"photoreceptor cell fate commitment","neuron fate commitment",0.88234460547504,0.303428571428571,0.986
"GO:0006886",172,"GO:0070727",0.9351,164,"intracellular protein transport","cellular macromolecule localization",0.926276972624799,0.263714285714286,0.869
"GO:0045595",14,"GO:0045595",0.92995,9,"regulation of cell differentiation","regulation of cell differentiation",0.842775362318841,0.236666666666667,0
"GO:0045664",14,"GO:0045595",0.91676,11,"regulation of neuron differentiation","regulation of cell differentiation",0.830431561996779,0.224166666666667,0.877
"GO:0045165",59,"GO:0048663",0.91365,26,"cell fate commitment","neuron fate commitment",0.90919806763285,0.284571428571429,0.873
"GO:0016319",82,"GO:0016319",0.90601,91,"mushroom body development","mushroom body development",0.906691626409018,0.389333333333333,0
"GO:0045216",22,"GO:0045216",0.87226,8,"cell-cell junction organization","cell-cell junction organization",0.948072463768116,0.33,0
"GO:0098742",39,"GO:0098742",0.87166,1,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.97970692431562,0.295538461538462,0
"GO:0051726",186,"GO:0051726",0.86565,45,"regulation of cell cycle","regulation of cell cycle",0.912451690821256,0.58,0
"GO:0048666",6,"GO:0048666",0.86364,15,"neuron development","neuron development",0.861661030595813,0.3021,0
"GO:0008354",78,"GO:0008354",0.85361,47,"germ cell migration","germ cell migration",0.921735909822866,0.388666666666667,0
"GO:0008361",188,"GO:0032535",0.84338,14,"regulation of cell size","regulation of cellular component size",0.899502415458937,0.265125,0.948
"GO:0035556",44,"GO:0035556",0.8428,126,"intracellular signal transduction","intracellular signal transduction",0.855775362318841,0.333333333333333,0
"GO:0051301",156,"GO:0051301",0.8357,9,"cell division","cell division",0.979202898550725,0.315777777777778,0
"GO:0010623",124,"GO:0010623",0.83391,8,"programmed cell death involved in cell development","programmed cell death involved in cell development",0.910164251207729,0.308789473684211,0
"GO:0001708",59,"GO:0048663",0.82418,31,"cell fate specification","neuron fate commitment",0.919446859903382,0.312071428571429,0.767
"GO:0042078",156,"GO:0051301",0.81581,16,"germ-line stem cell division","cell division",0.893253623188406,0.219777777777778,0.802
"GO:0031669",180,"GO:0071496",0.80374,2,"cellular response to nutrient levels","cellular response to external stimulus",0.92119001610306,0.298166666666667,0.99
"GO:0009267",180,"GO:0071496",0.80017,68,"cellular response to starvation","cellular response to external stimulus",0.918107890499195,0.301,0.985
"GO:0008285",147,"GO:0031344",0.79075,50,"negative regulation of cell population proliferation","regulation of cell projection organization",0.894203703703704,0.3119,0.792
"GO:0007427",140,"GO:0007427",0.7859,41,"epithelial cell migration, open tracheal system","epithelial cell migration, open tracheal system",0.903490338164251,0.276,0
"GO:0016043",173,"GO:0071840",0.78552,5,"cellular component organization","cellular component organization or biogenesis",0.932776972624799,0.463166666666667,0.842
"GO:0007155",39,"GO:0098742",0.77705,85,"cell adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.978194041867955,0.302076923076923,0.875
"GO:0008219",124,"GO:0010623",0.7695,16,"cell death","programmed cell death involved in cell development",0.973752818035427,0.258631578947368,0.836
"GO:0098609",39,"GO:0098742",0.76627,64,"cell-cell adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.97859500805153,0.27,0.933
"GO:0012501",124,"GO:0010623",0.75937,20,"programmed cell death","programmed cell death involved in cell development",0.973746376811594,0.256,0.839
"GO:0007156",39,"GO:0098742",0.75695,64,"homophilic cell adhesion via plasma membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.980685185185185,0.324230769230769,0.947
